Cement ,Blast Furnace Slag ,Fly Ash ,Water  
362.6,189,0,164.9
286.3,200.9,0,144.7
362.6,189,0,164.9
439,177,0,186
389.9,189,0,145.9
362.6,189,0,164.9
337.9,189,0,174.9
222.4,0,96.7,189.3
222.4,0,96.7,189.3
222.4,0,96.7,189.3
222.4,0,96.7,189.3
222.4,0,96.7,189.3
233.8,0,94.6,197.9
233.8,0,94.6,197.9
233.8,0,94.6,197.9
233.8,0,94.6,197.9
233.8,0,94.6,197.9
194.7,0,100.5,165.6
194.7,0,100.5,165.6
194.7,0,100.5,165.6
194.7,0,100.5,165.6
194.7,0,100.5,165.6
190.7,0,125.4,162.1
190.7,0,125.4,162.1
190.7,0,125.4,162.1
190.7,0,125.4,162.1
190.7,0,125.4,162.1
212.1,0,121.6,180.3
212.1,0,121.6,180.3
212.1,0,121.6,180.3
212.1,0,121.6,180.3
212.1,0,121.6,180.3
230,0,118.3,195.5
230,0,118.3,195.5
230,0,118.3,195.5
230,0,118.3,195.5
230,0,118.3,195.5
190.3,0,125.2,161.9
190.3,0,125.2,161.9
190.3,0,125.2,161.9
190.3,0,125.2,161.9
190.3,0,125.2,161.9
166.1,0,163.3,176.5
166.1,0,163.3,176.5
166.1,0,163.3,176.5
166.1,0,163.3,176.5
166.1,0,163.3,176.5
168,42.1,163.8,121.8
168,42.1,163.8,121.8
168,42.1,163.8,121.8
168,42.1,163.8,121.8
168,42.1,163.8,121.8
213.7,98.1,24.5,181.7
213.7,98.1,24.5,181.7
213.7,98.1,24.5,181.7
213.7,98.1,24.5,181.7
213.7,98.1,24.5,181.7
213.8,98.1,24.5,181.7
213.8,98.1,24.5,181.7
213.8,98.1,24.5,181.7
213.8,98.1,24.5,181.7
213.8,98.1,24.5,181.7
229.7,0,118.2,195.2
229.7,0,118.2,195.2
229.7,0,118.2,195.2
229.7,0,118.2,195.2
229.7,0,118.2,195.2
238.1,0,94.1,186.7
238.1,0,94.1,186.7
238.1,0,94.1,186.7
238.1,0,94.1,186.7
238.1,0,94.1,186.7
250,0,95.7,187.4
250,0,95.7,187.4
250,0,95.7,187.4
250,0,95.7,187.4
250,0,95.7,187.4
212.5,0,100.4,159.3
212.5,0,100.4,159.3
212.5,0,100.4,159.3
212.5,0,100.4,159.3
212.5,0,100.4,159.3
212.6,0,100.4,159.4
212.6,0,100.4,159.4
212.6,0,100.4,159.4
212.6,0,100.4,159.4
212.6,0,100.4,159.4
212,0,124.8,159
212,0,124.8,159
212,0,124.8,159
212,0,124.8,159
212,0,124.8,159
231.8,0,121.6,174
231.8,0,121.6,174
231.8,0,121.6,174
231.8,0,121.6,174
231.8,0,121.6,174
251.4,0,118.3,188.5
251.4,0,118.3,188.5
251.4,0,118.3,188.5
251.4,0,118.3,188.5
251.4,0,118.3,188.5
251.4,0,118.3,188.5
251.4,0,118.3,188.5
251.4,0,118.3,188.5
251.4,0,118.3,188.5
251.4,0,118.3,188.5
181.4,0,167,169.6
181.4,0,167,169.6
181.4,0,167,169.6
181.4,0,167,169.6
181.4,0,167,169.6
182,45.2,122,170.2
182,45.2,122,170.2
182,45.2,122,170.2
182,45.2,122,170.2
182,45.2,122,170.2
168.9,42.2,124.3,158.3
168.9,42.2,124.3,158.3
168.9,42.2,124.3,158.3
168.9,42.2,124.3,158.3
168.9,42.2,124.3,158.3
290.4,0,96.2,168.1
290.4,0,96.2,168.1
290.4,0,96.2,168.1
290.4,0,96.2,168.1
290.4,0,96.2,168.1
277.1,0,97.4,160.6
277.1,0,97.4,160.6
277.1,0,97.4,160.6
277.1,0,97.4,160.6
277.1,0,97.4,160.6
295.7,0,95.6,171.5
295.7,0,95.6,171.5
295.7,0,95.6,171.5
295.7,0,95.6,171.5
295.7,0,95.6,171.5
251.8,0,99.9,146.1
251.8,0,99.9,146.1
251.8,0,99.9,146.1
251.8,0,99.9,146.1
251.8,0,99.9,146.1
249.1,0,98.8,158.1
249.1,0,98.8,158.1
249.1,0,98.8,158.1
249.1,0,98.8,158.1
249.1,0,98.8,158.1
252.3,0,98.8,146.3
252.3,0,98.8,146.3
252.3,0,98.8,146.3
252.3,0,98.8,146.3
252.3,0,98.8,146.3
246.8,0,125.1,143.3
246.8,0,125.1,143.3
246.8,0,125.1,143.3
246.8,0,125.1,143.3
246.8,0,125.1,143.3
275.1,0,121.4,159.5
275.1,0,121.4,159.5
275.1,0,121.4,159.5
275.1,0,121.4,159.5
275.1,0,121.4,159.5
297.2,0,117.5,174.8
297.2,0,117.5,174.8
297.2,0,117.5,174.8
297.2,0,117.5,174.8
297.2,0,117.5,174.8
213.7,0,174.7,154.8
213.7,0,174.7,154.8
213.7,0,174.7,154.8
213.7,0,174.7,154.8
213.7,0,174.7,154.8
213.5,0,174.2,154.6
213.5,0,174.2,154.6
213.5,0,174.2,154.6
213.5,0,174.2,154.6
213.5,0,174.2,154.6
277.2,97.8,24.5,160.7
277.2,97.8,24.5,160.7
277.2,97.8,24.5,160.7
277.2,97.8,24.5,160.7
277.2,97.8,24.5,160.7
218.2,54.6,123.8,140.8
218.2,54.6,123.8,140.8
218.2,54.6,123.8,140.8
218.2,54.6,123.8,140.8
218.2,54.6,123.8,140.8
214.9,53.8,121.9,155.6
214.9,53.8,121.9,155.6
214.9,53.8,121.9,155.6
214.9,53.8,121.9,155.6
214.9,53.8,121.9,155.6
218.9,0,124.1,158.5
218.9,0,124.1,158.5
218.9,0,124.1,158.5
218.9,0,124.1,158.5
218.9,0,124.1,158.5
376,0,0,214.6
376,0,0,214.6
376,0,0,214.6
376,0,0,214.6
376,0,0,214.6
500,0,0,140
475,0,59,142
315,137,0,145
505,0,60,195
451,0,0,165
516,0,0,162
520,0,0,170
528,0,0,185
520,0,0,175
385,0,136,158
500.1,0,0,200
450.1,50,0,200
397,17.2,158,167
333,17.5,163,167
334,17.6,158,189
405,0,0,175
200,200,0,190
516,0,0,162
145,116,119,184
160,128,122,182
234,156,0,189
250,180,95,159
475,0,0,162
285,190,0,163
356,119,0,160
275,180,120,162
500,0,0,151
165,0,143.6,163.8
165,128.5,132.1,175.1
178,129.8,118.6,179.9
167.4,129.9,128.6,175.5
172.4,13.6,172.4,156.8
173.5,50.1,173.5,164.8
167,75.4,167,164
173.8,93.4,159.9,172.3
190.3,0,125.2,166.6
250,0,95.7,191.8
213.5,0,174.2,159.2
194.7,0,100.5,170.2
251.4,0,118.3,192.9
165,0,143.6,163.8
165,128.5,132.1,175.1
178,129.8,118.6,179.9
167.4,129.9,128.6,175.5
172.4,13.6,172.4,156.8
173.5,50.1,173.5,164.8
167,75.4,167,164
173.8,93.4,159.9,172.3
190.3,0,125.2,166.6
250,0,95.7,191.8
213.5,0,174.2,159.2
194.7,0,100.5,170.2
251.4,0,118.3,192.9
165,0,143.6,163.8
165,128.5,132.1,175.1
178,129.8,118.6,179.9
167.4,129.9,128.6,175.5
172.4,13.6,172.4,156.8
173.5,50.1,173.5,164.8
167,75.4,167,164
173.8,93.4,159.9,172.3
190.3,0,125.2,166.6
250,0,95.7,191.8
213.5,0,174.2,159.2
194.7,0,100.5,170.2
251.4,0,118.3,192.9
165,0,143.6,163.8
165,128.5,132.1,175.1
178,129.8,118.6,179.9
167.4,129.9,128.6,175.5
172.4,13.6,172.4,156.8
173.5,50.1,173.5,164.8
167,75.4,167,164
173.8,93.4,159.9,172.3
190.3,0,125.2,166.6
250,0,95.7,191.8
213.5,0,174.2,159.2
194.7,0,100.5,170.2
251.4,0,118.3,192.9
165,0,143.6,163.8
165,128.5,132.1,175.1
178,129.8,118.6,179.9
167.4,129.9,128.6,175.5
172.4,13.6,172.4,156.8
173.5,50.1,173.5,164.8
167,75.4,167,164
173.8,93.4,159.9,172.3
190.3,0,125.2,166.6
250,0,95.7,191.8
213.5,0,174.2,159.2
194.7,0,100.5,170.2
251.4,0,118.3,192.9
446,24,79,162
446,24,79,162
446,24,79,162
446,24,79,162
446,24,79,162
446,24,79,162
446,24,79,162
446,24,79,162
446,24,79,162
446,24,79,162
446,24,79,162
446,24,79,162
446,24,79,162
446,24,79,162
387,20,94,157
387,20,94,157
387,20,94,157
387,20,94,157
387,20,94,157
387,20,94,157
387,20,94,157
387,20,94,157
387,20,94,157
387,20,94,157
387,20,94,157
387,20,94,157
355,19,97,145
355,19,97,145
491,26,123,210
491,26,123,201
491,26,123,210
491,26,123,210
491,26,123,210
491,26,123,201
491,26,123,201
491,26,123,201
424,22,132,178
424,22,132,178
424,22,132,168
424,22,132,178
424,22,132,178
424,22,132,168
424,22,132,168
424,22,132,168
202,11,141,206
202,11,141,206
202,11,141,206
202,11,141,206
284,15,141,179
284,15,141,179
284,15,141,179
284,15,141,179
359,19,141,154
359,19,141,154
359,19,141,154
359,19,141,154
359,19,141,154
359,19,141,154
359,19,141,154
359,19,141,154
436,0,0,218
289,0,0,192
289,0,0,192
393,0,0,192
393,0,0,192
393,0,0,192
480,0,0,192
480,0,0,192
480,0,0,192
480,0,0,192
333,0,0,192
255,0,0,192
255,0,0,192
289,0,0,192
255,0,0,192
333,0,0,192
333,0,0,192
289,0,0,192
333,0,0,192
393,0,0,192
255,0,0,192
158.8,238.2,0,185.7
239.6,359.4,0,185.7
238.2,158.8,0,185.7
181.9,272.8,0,185.7
193.5,290.2,0,185.7
255.5,170.3,0,185.7
272.8,181.9,0,185.7
239.6,359.4,0,185.7
220.8,147.2,0,185.7
397,0,0,185.7
382.5,0,0,185.7
210.7,316.1,0,185.7
158.8,238.2,0,185.7
295.8,0,0,185.7
255.5,170.3,0,185.7
203.5,135.7,0,185.7
397,0,0,185.7
381.4,0,0,185.7
295.8,0,0,185.7
228,342.1,0,185.7
220.8,147.2,0,185.7
316.1,210.7,0,185.7
135.7,203.5,0,185.7
238.1,0,0,185.7
339.2,0,0,185.7
135.7,203.5,0,185.7
193.5,290.2,0,185.7
203.5,135.7,0,185.7
290.2,193.5,0,185.7
181.9,272.8,0,185.7
170.3,155.5,0,185.7
210.7,316.1,0,185.7
228,342.1,0,185.7
290.2,193.5,0,185.7
381.4,0,0,185.7
238.2,158.8,0,185.7
186.2,124.1,0,185.7
339.2,0,0,185.7
238.1,0,0,185.7
252.5,0,0,185.7
382.5,0,0,185.7
252.5,0,0,185.7
316.1,210.7,0,185.7
186.2,124.1,0,185.7
170.3,155.5,0,185.7
272.8,181.9,0,185.7
339,0,0,197
339,0,0,197
339,0,0,197
339,0,0,197
339,0,0,197
339,0,0,197
339,0,0,197
236,0,0,194
236,0,0,194
236,0,0,194
236,0,0,194
236,0,0,193
236,0,0,193
277,0,0,191
277,0,0,191
277,0,0,191
277,0,0,191
277,0,0,191
277,0,0,191
254,0,0,198
254,0,0,198
254,0,0,198
254,0,0,198
307,0,0,193
307,0,0,193
307,0,0,193
307,0,0,193
307,0,0,193
236,0,0,193
200,0,0,180
200,0,0,180
225,0,0,181
225,0,0,181
325,0,0,184
325,0,0,184
275,0,0,183
275,0,0,183
300,0,0,184
300,0,0,184
375,0,0,186
375,0,0,186
400,0,0,187
400,0,0,187
250,0,0,182
250,0,0,182
350,0,0,186
350,0,0,186
203.5,305.3,0,203.5
250.2,166.8,0,203.5
157,236,0,192
141.3,212,0,203.5
166.8,250.2,0,203.5
122.6,183.9,0,203.5
183.9,122.6,0,203.5
102,153,0,192
102,153,0,192
122.6,183.9,0,203.5
166.8,250.2,0,203.5
200,133,0,192
108.3,162.4,0,203.5
305.3,203.5,0,203.5
108.3,162.4,0,203.5
116,173,0,192
141.3,212,0,203.5
157,236,0,192
133,200,0,192
250.2,166.8,0,203.5
173,116,0,192
192,288,0,192
192,288,0,192
153,102,0,192
288,192,0,192
305.3,203.5,0,203.5
236,157,0,192
173,116,0,192
212,141.3,0,203.5
236,157,0,192
183.9,122.6,0,203.5
166.8,250.2,0,203.5
102,153,0,192
288,192,0,192
212,141.3,0,203.5
102,153,0,192
173,116,0,192
183.9,122.6,0,203.5
133,200,0,192
192,288,0,192
133,200,0,192
305.3,203.5,0,203.5
236,157,0,192
108.3,162.4,0,203.5
157,236,0,192
288,192,0,192
212,141.3,0,203.5
212,141.3,0,203.5
153,102,0,192
236,157,0,192
116,173,0,192
183.9,122.6,0,203.5
108.3,162.4,0,203.5
203.5,305.3,0,203.5
203.5,305.3,0,203.5
133,200,0,192
288,192,0,192
200,133,0,192
200,133,0,192
250.2,166.8,0,203.5
122.6,183.9,0,203.5
153,102,0,192
200,133,0,192
116,173,0,192
173,116,0,192
250.2,166.8,0,203.5
305.3,203.5,0,203.5
192,288,0,192
157,236,0,192
153,102,0,192
141.3,212,0,203.5
116,173,0,192
141.3,212,0,203.5
122.6,183.9,0,203.5
166.8,250.2,0,203.5
203.5,305.3,0,203.5
310,0,0,192
310,0,0,192
310,0,0,192
310,0,0,192
310,0,0,192
331,0,0,192
331,0,0,192
331,0,0,192
331,0,0,192
331,0,0,192
349,0,0,192
349,0,0,192
349,0,0,192
349,0,0,192
349,0,0,192
238,0,0,186
238,0,0,186
296,0,0,186
296,0,0,186
297,0,0,186
480,0,0,192
480,0,0,192
397,0,0,186
281,0,0,186
281,0,0,185
500,0,0,200
500,0,0,200
500,0,0,200
500,0,0,200
500,0,0,200
540,0,0,173
540,0,0,173
540,0,0,173
540,0,0,173
540,0,0,173
540,0,0,173
350,0,0,203
350,0,0,203
350,0,0,203
350,0,0,203
350,0,0,203
350,0,0,203
385,0,0,186
385,0,0,186
385,0,0,186
385,0,0,186
385,0,0,186
331,0,0,192
331,0,0,192
349,0,0,192
331,0,0,192
382,0,0,186
382,0,0,186
382,0,0,186
281,0,0,186
339,0,0,185
339,0,0,185
295,0,0,185
295,0,0,185
238,0,0,185
296,0,0,192
296,0,0,192
296,0,0,192
331,0,0,192
331,0,0,192
331,0,0,192
331,0,0,192
349,0,0,192
349,0,0,192
349,0,0,192
349,0,0,192
349,0,0,192
302,0,0,203
302,0,0,203
525,0,0,189
500,0,0,200
500,0,0,200
500,0,0,200
540,0,0,173
252,0,0,185
252,0,0,185
339,0,0,185
393,0,0,192
393,0,0,192
393,0,0,192
382,0,0,185
382,0,0,185
252,0,0,186
252,0,0,185
310,0,0,192
310,0,0,192
310,0,0,192
310,0,0,192
310,0,0,192
525,0,0,189
525,0,0,189
525,0,0,189
525,0,0,189
525,0,0,189
525,0,0,189
322,0,0,203
322,0,0,203
322,0,0,203
302,0,0,203
397,0,0,185
480,0,0,192
522,0,0,146
522,0,0,146
273,105,82,210
162,190,148,179
154,144,112,220
147,115,89,202
152,178,139,168
310,143,111,168
144,0,175,158
304,140,0,214
374,0,0,190
159,149,116,175
153,239,0,200
310,143,0,168
305,0,100,196
151,0,184,167
142,167,130,174
298,137,107,201
321,164,0,190
366,187,0,191
280,129,100,172
252,97,76,194
165,0,150,182
156,243,0,180
160,188,146,203
298,0,107,186
318,0,126,210
287,121,94,188
326,166,0,174
356,0,142,193
132,207,161,179
322,149,0,186
164,0,200,181
314,0,113,170
321,0,128,182
140,164,128,237
288,121,0,177
298,0,107,210
265,111,86,195
160,250,0,168
166,260,0,183
276,116,90,180
322,0,116,196
149,139,109,193
159,187,0,176
261,100,78,201
237,92,71,247
313,0,113,178
155,183,0,193
146,230,0,202
296,0,107,221
133,210,0,196
313,145,0,178
152,0,112,184
153,145,113,178
140,133,103,200
149,236,0,176
300,0,120,212
153,145,113,178
148,0,137,158
326,0,138,199
153,145,0,178
262,111,86,195
158,0,195,220
151,0,185,167
273,0,90,199
149,118,92,183
143,169,143,191
260,101,78,171
313,161,0,178
284,120,0,168
336,0,0,182
145,0,134,181
150,237,0,174
144,170,133,192
331,170,0,195
155,0,143,193
155,183,0,193
135,0,166,180
266,112,87,178
314,145,113,179
313,145,0,127
146,173,0,182
144,136,106,178
148,0,182,181
277,117,91,191
298,0,107,164
313,145,0,178
155,184,143,194
289,134,0,195
148,175,0,171
145,0,179,202
313,0,0,178
136,162,126,172
155,0,143,193
255,99,77,189
162,207,172,216
136,196,98,199
164,163,128,197
162,214,164,202
157,214,152,200
149,153,194,192
135,105,193,196
159,209,161,201
144,15,195,176
154,174,185,228
167,187,195,185
184,86,190,213
156,178,187,221
236.9,91.7,71.5,246.9
313.3,0,113,178.5
154.8,183.4,0,193.3
145.9,230.5,0,202.5
296,0,106.7,221.4
133.1,210.2,0,195.7
313.3,145,0,178.5
151.6,0,111.9,184.4
153.1,145,113,178.5
139.9,132.6,103.3,200.3
149.5,236,0,175.8
299.8,0,119.8,211.5
153.1,145,113,178.5
148.1,0,136.6,158.1
326.5,0,137.9,199
152.7,144.7,0,178.1
261.9,110.5,86.1,195.4
158.4,0,194.9,219.7
150.7,0,185.3,166.7
272.6,0,89.6,198.7
149,117.6,91.7,182.9
143,169.4,142.7,190.7
259.9,100.6,78.4,170.6
312.9,160.5,0,177.6
284,119.7,0,168.3
336.5,0,0,181.9
144.8,0,133.6,180.8
150,236.8,0,173.8
143.7,170.2,132.6,191.6
330.5,169.6,0,194.9
154.8,0,142.8,193.3
154.8,183.4,0,193.3
134.7,0,165.7,180.2
266.2,112.3,87.5,177.9
314,145.3,113.2,178.9
312.7,144.7,0,127.3
145.7,172.6,0,181.9
143.8,136.3,106.2,178.1
148.1,0,182.1,181.4
277,116.8,91,190.6
298.1,0,107.5,163.6
313.3,145,0,178.5
155.2,183.9,143.2,193.8
289,133.7,0,194.9
147.8,175.1,0,171.2
145.4,0,178.9,201.7
312.7,0,0,178.1
136.4,161.6,125.8,171.6
154.8,0,142.8,193.3
255.3,98.8,77,188.6
272.8,105.1,81.8,209.7
162,190.1,148.1,178.8
153.6,144.2,112.3,220.1
146.5,114.6,89.3,201.9
151.8,178.1,138.7,167.5
309.9,142.8,111.2,167.8
143.6,0,174.9,158.4
303.6,139.9,0,213.5
374.3,0,0,190.2
158.6,148.9,116,175.1
152.6,238.7,0,200
310,142.8,0,167.9
304.8,0,99.6,196
150.9,0,183.9,166.6
141.9,166.6,129.7,173.5
297.8,137.2,106.9,201.3
321.3,164.2,0,190.5
366,187,0,191.3
279.8,128.9,100.4,172.4
252.1,97.1,75.6,193.8
164.6,0,150.4,181.6
155.6,243.5,0,180.3
160.2,188,146.4,203.2
298.1,0,107,186.4
317.9,0,126.5,209.7
287.3,120.5,93.9,187.6
325.6,166.4,0,174
355.9,0,141.6,193.3
132,206.5,160.9,178.9
322.5,148.6,0,185.8
164.2,0,200.1,181.2
313.8,0,112.6,169.9
321.4,0,127.9,182.5
139.7,163.9,127.7,236.7
288.4,121,0,177.4
298.2,0,107,209.7
264.5,111,86.5,195.5
159.8,250,0,168.4
166,259.7,0,183.2
276.4,116,90.3,179.6
322.2,0,115.6,196
148.5,139.4,108.6,192.7
159.1,186.7,0,175.6
260.9,100.5,78.3,200.6
